[17:47:52:058] [INFO] - org.springframework.boot.StartupInfoLogger.logStarting(StartupInfoLogger.java:48) - Starting SfdsjptApplication on DESKTOP-9CFA43G with PID 10116 (D:\sfdsjpt\target\classes started by Lenovo in D:\sfdsjpt)
[17:47:52:068] [INFO] - org.springframework.boot.SpringApplication.logStartupProfileInfo(SpringApplication.java:661) - No active profile set, falling back to default profiles: default
[17:47:52:088] [INFO] - org.springframework.context.support.AbstractApplicationContext.prepareRefresh(AbstractApplicationContext.java:581) - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@2ea3073d: startup date [Fri Dec 10 17:47:52 CST 2021]; root of context hierarchy
[17:47:52:128] [INFO] - org.hibernate.validator.internal.util.Version.<clinit>(Version.java:30) - HV000001: Hibernate Validator 5.2.4.Final
[17:47:53:173] [INFO] - org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(PostProcessorRegistrationDelegate.java:328) - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$b7f825b4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[17:47:53:495] [INFO] - org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer.initialize(TomcatEmbeddedServletContainer.java:87) - Tomcat initialized with port(s): 8082 (http)
[17:47:53:505] [INFO] - org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:179) - Starting service Tomcat
[17:47:53:505] [INFO] - org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:179) - Starting Servlet Engine: Apache Tomcat/8.5.5
[17:47:53:596] [INFO] - org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:179) - Initializing Spring embedded WebApplicationContext
[17:47:53:596] [INFO] - org.springframework.boot.context.embedded.EmbeddedWebApplicationContext.prepareEmbeddedWebApplicationContext(EmbeddedWebApplicationContext.java:276) - Root WebApplicationContext: initialization completed in 1508 ms
[17:47:53:746] [INFO] - org.springframework.boot.web.servlet.ServletRegistrationBean.onStartup(ServletRegistrationBean.java:190) - Mapping servlet: 'dispatcherServlet' to [/]
[17:47:53:746] [INFO] - org.springframework.boot.web.servlet.AbstractFilterRegistrationBean.configure(AbstractFilterRegistrationBean.java:258) - Mapping filter: 'characterEncodingFilter' to: [/*]
[17:47:53:746] [INFO] - org.springframework.boot.web.servlet.AbstractFilterRegistrationBean.configure(AbstractFilterRegistrationBean.java:258) - Mapping filter: 'corsFilter' to: [/*]
[17:47:54:561] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/dxwlzp/getAjsl]}" onto public com.software.model.ResultModel com.software.controller.DxwlzpController.getAjsl(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:561] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/dxwlzp/getBmslLa]}" onto public com.software.model.ResultModel com.software.controller.DxwlzpController.getBmslLa(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:569] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/dxwlzp/getBgAge]}" onto public com.software.model.ResultModel com.software.controller.DxwlzpController.glBgage(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:569] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/dxwlzp/getBgNum]}" onto public com.software.model.ResultModel com.software.controller.DxwlzpController.getBgNum(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:569] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/dxwlzp/getBgxb]}" onto public com.software.model.ResultModel com.software.controller.DxwlzpController.bgxb(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:569] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/dxwlzp/word]}" onto public void com.software.controller.DxwlzpController.exportWord(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String,java.lang.String)
[17:47:54:571] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/dxwlzp/getBmslAvg]}" onto public com.software.model.ResultModel com.software.controller.DxwlzpController.getBmslAvg(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:571] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/dxwlzp/getBmslJa]}" onto public com.software.model.ResultModel com.software.controller.DxwlzpController.getBmslJa(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:571] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/dxwlzp/getBgSf]}" onto public com.software.model.ResultModel com.software.controller.DxwlzpController.bgSf(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:571] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/dxwlzp/getBgWhcd]}" onto public com.software.model.ResultModel com.software.controller.DxwlzpController.bgWhcd(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:571] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/dxwlzp/getAjCount]}" onto public com.software.model.ResultModel com.software.controller.DxwlzpController.getLhjfAjCount(javax.servlet.http.HttpServletRequest)
[17:47:54:571] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/getYwtpm]}" onto public com.software.model.ResultModel com.software.controller.IndexController.wytpm(javax.servlet.http.HttpServletRequest)
[17:47:54:571] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/getAjxxIntime]}" onto public com.software.model.ResultModel com.software.controller.IndexController.ajxxIntime(javax.servlet.http.HttpServletRequest)
