[18:02:50:970] [WARN] - com.zaxxer.hikari.util.DriverDataSource.<init>(DriverDataSource.java:68) - Registered driver with driverClassName=com.sybase.jdbc3.jdbc.SybDataSource was not found, trying direct instantiation.
[18:03:37:829] [WARN] - com.zaxxer.hikari.util.DriverDataSource.<init>(DriverDataSource.java:68) - Registered driver with driverClassName=com.sybase.jdbc3.jdbc.SybDataSource was not found, trying direct instantiation.
[18:03:37:829] [WARN] - com.zaxxer.hikari.util.DriverDataSource.<init>(DriverDataSource.java:68) - Registered driver with driverClassName=com.sybase.jdbc3.jdbc.SybDataSource was not found, trying direct instantiation.
[18:03:37:830] [WARN] - com.zaxxer.hikari.util.DriverDataSource.<init>(DriverDataSource.java:68) - Registered driver with driverClassName=com.sybase.jdbc3.jdbc.SybDataSource was not found, trying direct instantiation.
[18:03:37:830] [WARN] - com.zaxxer.hikari.util.DriverDataSource.<init>(DriverDataSource.java:68) - Registered driver with driverClassName=com.sybase.jdbc3.jdbc.SybDataSource was not found, trying direct instantiation.
[18:03:37:830] [WARN] - com.zaxxer.hikari.util.DriverDataSource.<init>(DriverDataSource.java:68) - Registered driver with driverClassName=com.sybase.jdbc3.jdbc.SybDataSource was not found, trying direct instantiation.
[18:03:37:831] [WARN] - com.zaxxer.hikari.util.DriverDataSource.<init>(DriverDataSource.java:68) - Registered driver with driverClassName=com.sybase.jdbc3.jdbc.SybDataSource was not found, trying direct instantiation.
[18:03:37:831] [WARN] - com.zaxxer.hikari.util.DriverDataSource.<init>(DriverDataSource.java:68) - Registered driver with driverClassName=com.sybase.jdbc3.jdbc.SybDataSource was not found, trying direct instantiation.
[18:03:37:832] [WARN] - com.zaxxer.hikari.util.DriverDataSource.<init>(DriverDataSource.java:68) - Registered driver with driverClassName=com.sybase.jdbc3.jdbc.SybDataSource was not found, trying direct instantiation.
[18:03:37:832] [WARN] - com.zaxxer.hikari.util.DriverDataSource.<init>(DriverDataSource.java:68) - Registered driver with driverClassName=com.sybase.jdbc3.jdbc.SybDataSource was not found, trying direct instantiation.
[18:03:37:833] [WARN] - com.zaxxer.hikari.util.DriverDataSource.<init>(DriverDataSource.java:68) - Registered driver with driverClassName=com.sybase.jdbc3.jdbc.SybDataSource was not found, trying direct instantiation.
[18:03:37:868] [WARN] - com.zaxxer.hikari.util.DriverDataSource.<init>(DriverDataSource.java:68) - Registered driver with driverClassName=com.sybase.jdbc3.jdbc.SybDataSource was not found, trying direct instantiation.
[18:03:37:871] [WARN] - com.zaxxer.hikari.util.DriverDataSource.<init>(DriverDataSource.java:68) - Registered driver with driverClassName=com.sybase.jdbc3.jdbc.SybDataSource was not found, trying direct instantiation.
[18:03:37:879] [WARN] - com.zaxxer.hikari.util.DriverDataSource.<init>(DriverDataSource.java:68) - Registered driver with driverClassName=com.sybase.jdbc3.jdbc.SybDataSource was not found, trying direct instantiation.
[18:03:37:889] [WARN] - com.zaxxer.hikari.util.DriverDataSource.<init>(DriverDataSource.java:68) - Registered driver with driverClassName=com.sybase.jdbc3.jdbc.SybDataSource was not found, trying direct instantiation.
[18:03:37:913] [WARN] - com.zaxxer.hikari.util.DriverDataSource.<init>(DriverDataSource.java:68) - Registered driver with driverClassName=com.sybase.jdbc3.jdbc.SybDataSource was not found, trying direct instantiation.
